title;price;discount;developer;publisher;tags;release_date;valoration;reviews;stock;descarga;f2p
WRC Generations Fully Loaded Edition;12.25€;-75%;KT Racing;Nacon;['Un solo jugador', 'Carreras', 'Simulación'];3 noviembre 2022;8;28;En stock;Descarga digital;False
Destiny 2: Eclipse + Pase anual;52.65€;-47%;Bungie;Bungie;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];28 febrero 2023;8;31;En stock;Descarga digital;False
Destiny 2 Legacy Collection (2023) - Europe;23.18€;-61%;Bungie;Bungie;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];28 febrero 2023;9;5;En stock;Descarga digital;False
Planet Zoo: Grasslands Animal Pack;4.19€;-58%;Frontier Developments;Frontier Developments;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];13 diciembre 2022;10;6;En stock;Descarga digital;False
Farming Simulator 22 Platinum Edition;25.94€;-35%;;;['Simulación'];15 noviembre 2022;10;163;En stock;Descarga digital;False
Dredge Digital Deluxe Edition;26.49€;-24%;Black Salt Games;Team17;['Aventura', 'RPG', 'Un solo jugador'];30 marzo 2023;10;16;En stock;Descarga digital;False
Starsand;1.00€;-94%;Tunnel Vision Studio;Toplitz Productions;['Un solo jugador', 'Acción', 'Aventura', 'Simulación'];17 noviembre 2022;7;5;En stock;Descarga digital;False
Sifu;23.99€;-40%;Sloclap;Kepler Interactive;['Un solo jugador', 'Acción', 'Indies'];28 marzo 2023;10;27;En stock;Descarga digital;False
Deceive Inc. Black Tie Edition - Europe;18.67€;-38%;Sweet Bandits Studios;Tripwire Presents;['Acción', 'Indies', 'Estrategia', 'PvP online'];21 marzo 2023;10;3;En stock;Descarga digital;False
Total War: Warhammer III - Forge of the Chaos Dwarfs;18.99€;-24%;Feral Interactive;SEGA;['Un solo jugador', 'Acción', 'Estrategia', '\nDLC\n'];13 abril 2023;10;2;En stock;Descarga digital;False
Undisputed;22.51€;-25%;Steel City Interactive;Steel City Interactive;['Un solo jugador', 'Acción', 'Indies', 'Simulación', 'Deporte', 'Early Access'];31 enero 2023;9;16;En stock;Descarga digital;False
Frozen Flame;10.84€;-64%;Dreamside Interactive;Ravenage Games;['Un solo jugador', 'Acción', 'Aventura', 'RPG', 'Early Access'];17 noviembre 2022;9;8;En stock;Descarga digital;False
The Last of Us Part I Digital Deluxe Edition;44.05€;-37%;Naughty Dog LLC;PlayStation PC LLC;['Acción', 'Aventura', 'Un solo jugador'];28 marzo 2023;6;211;En stock;Descarga digital;False
Stellaris: First Contact Story Pack;9.89€;-34%;Paradox Arctic;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];14 marzo 2023;10;1;En stock;Descarga digital;False
Potion Craft: Alchemist Simulator;4.83€;-61%;niceplay games;tinyBuild;['Un solo jugador', 'Indies', 'Simulación'];13 diciembre 2022;10;36;En stock;Descarga digital;False
WWE 2K23 - Europe;42.82€;-29%;Visual Concepts;2K;['Un solo jugador', 'Simulación', 'Deporte'];16 marzo 2023;7;6;En stock;Descarga digital;False
Resident Evil Village Gold Edition;23.32€;-53%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción'];28 octubre 2022;9;194;En stock;Descarga digital;False
Have a Nice Death;19.55€;-22%;Magic Design Studios;Gearbox Publishing;['Un solo jugador', 'Acción', 'Indies'];22 marzo 2023;10;2;En stock;Descarga digital;False
Company of Heroes 3 - Europe;31.20€;-48%;Relic Entertainment;SEGA;['Un solo jugador', 'Acción', 'Estrategia'];23 febrero 2023;7;29;En stock;Descarga digital;False
Destiny 2: Eclipse;34.96€;-30%;Bungie;Bungie;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];28 febrero 2023;8;31;En stock;Descarga digital;False
Atomic Heart;40.60€;-32%;Mundfish;4Divinity;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];20 febrero 2023;9;42;En stock;Descarga digital;False
Police Simulator: Patrol Officers;19.71€;-34%;Aesir Interactive;astragon Entertainment;['Un solo jugador', 'Simulación'];10 noviembre 2022;8;43;En stock;Descarga digital;False
Barotrauma;17.53€;-50%;Undertow Games;Daedalic Entertainment;['Un solo jugador', 'Acción', 'Indies', 'Simulación', 'Estrategia'];13 marzo 2023;10;17;En stock;Descarga digital;False
Rain World: Downpour;4.90€;-67%;Videocult;Akupara Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'Simulación', '\nDLC\n'];19 enero 2023;10;2;En stock;Descarga digital;False
Warhammer 40,000: Darktide;25.35€;-37%;Fatshark;Fatshark;['Cooperativo online', 'Acción', 'Aventura', 'Indies'];30 noviembre 2022;6;15;En stock;Descarga digital;False
Octopath Traveler 2;43.67€;-27%;ACQUIRE Corp.;Square Enix;['Un solo jugador', 'RPG'];24 febrero 2023;10;6;En stock;Descarga digital;False
Solasta: Crown of the Magister - Inner Strength;4.45€;-44%;Tactical Adventures;Tactical Adventures;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia', '\nDLC\n'];14 noviembre 2022;;0;En stock;Descarga digital;False
Stray Blade;21.99€;-37%;Point Blank Games;505 Games;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];20 abril 2023;10;2;En stock;Descarga digital;False
Storyteller;10.55€;-25%;Daniel Benmergui;Annapurna Interactive;['Un solo jugador', 'Aventura'];23 marzo 2023;10;4;En stock;Descarga digital;False
Farming Simulator 22 - Year 2 Season Pass;24.16€;-40%;Giants Software;Giants Software;['Un solo jugador', 'Simulación', '\nDLC\n'];5 diciembre 2022;10;3;En stock;Descarga digital;False
Sackboy Una aventura a lo grande;24.16€;-60%;Sumo Digital;PlayStation PC LLC;['Un solo jugador', 'Aventura'];27 octubre 2022;8;9;En stock;Descarga digital;False
Jurassic World Evolution 2: Dominion Malta Expansion;11.99€;-40%;Frontier Developments;Frontier Developments;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];8 diciembre 2022;10;3;En stock;Descarga digital;False
Kerbal Space Program 2 - Europe;36.90€;-26%;Intercept Games;Private Division;['Un solo jugador', 'Indies', 'Simulación', 'Early Access'];24 febrero 2023;8;17;En stock;Descarga digital;False
Cities: Skylines - Content Creator Pack: Shopping Malls;4.99€;-17%;KingLeno;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];22 marzo 2023;;0;En stock;Descarga digital;False
Cities: Skylines - Content Creator Pack: Sports Venues;4.99€;-17%;BadPeanut;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];22 marzo 2023;;0;En stock;Descarga digital;False
The Great War: Western Front;24.23€;-31%;Petroglyph Games;Frontier Foundry;['Un solo jugador', 'Estrategia'];30 marzo 2023;10;2;En stock;Descarga digital;False
Cities: Skylines - Financial Districts;6.56€;-18%;Colossal Order Ltd.;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];13 diciembre 2022;10;1;En stock;Descarga digital;False
Chef Life - A Restaurant Simulator Al Forno Edition;23.63€;-41%;Cyanide;Nacon;['Un solo jugador', 'Simulación'];23 febrero 2023;10;3;En stock;Descarga digital;False
ZERO Sievert;16.23€;-19%;CABO Studio;Modern Wolf;['Un solo jugador', 'Acción', 'Aventura', 'Early Access'];15 noviembre 2022;8;3;En stock;Descarga digital;False
Jurassic World Evolution 2: Feathered Species Pack;6.06€;-24%;Frontier Developments;Frontier Developments;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];30 marzo 2023;;0;En stock;Descarga digital;False
Stranger of Paradise Final Fantasy Origin;32.74€;-18%;KOEI TECMO GAMES CO., LTD.;Square Enix;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];6 abril 2023;9;5;En stock;Descarga digital;False
Cities: Skylines - Content Creator Pack: Skyscrapers;4.49€;-25%;Feindbold;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];15 noviembre 2022;;0;En stock;Descarga digital;False
Farming Simulator 22 - Platinum Expansion;12.28€;-39%;Giants Software;Giants Software;['Un solo jugador', 'Simulación', '\nDLC\n'];14 noviembre 2022;10;1;En stock;Descarga digital;False
Dead Cells: Return to Castlevania;6.76€;-32%;Evil Empire;Motion Twin;['Un solo jugador', 'Acción', 'Indies', '\nDLC\n'];6 marzo 2023;;0;En stock;Descarga digital;False
Boundary;13.99€;-42%;Studio Surgical Scalpels;Skystone Games;['PvP online', 'Acción', 'Early Access'];13 abril 2023;10;1;En stock;Descarga digital;False
Returnal;40.43€;-33%;Housemarque;PlayStation PC LLC;['Un solo jugador', 'Acción'];15 febrero 2023;9;18;En stock;Descarga digital;False
TerraScape;9.17€;-29%;Bitfall Studios;Toplitz Productions;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia', 'Early Access'];5 abril 2023;;0;En stock;Descarga digital;False
Elderand;6.93€;-64%;Sinergia Games;Graffiti Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG'];16 febrero 2023;;0;En stock;Descarga digital;False
Forspoken - Europe;44.38€;-45%;Luminous Productions;Square Enix;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];24 enero 2023;6;65;En stock;Descarga digital;False
X4: Kingdom End;12.99€;-13%;Egosoft;Egosoft;['Un solo jugador', 'Acción', 'Simulación', '\nDLC\n'];12 abril 2023;;0;En stock;Descarga digital;False
Mega Man Battle Network Legacy Collection (Vol.1 + Vol.2);42.99€;-28%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Acción', 'RPG'];14 abril 2023;;0;En stock;Descarga digital;False
Victoria 3;31.30€;-37%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia'];25 octubre 2022;10;9;En stock;Descarga digital;False
Dragon Ball Xenoverse 2 - Hero of Justice Pack Set;14.11€;-17%;QLOC;BANDAI NAMCO Entertainment;['Un solo jugador', 'Acción', 'Aventura', '\nDLC\n'];10 noviembre 2022;;0;En stock;Descarga digital;False
Pase de líder de Civilization VI;12.83€;-36%;Aspyr (Mac);2K;['Un solo jugador', 'Estrategia', '\nDLC\n'];21 noviembre 2022;;0;En stock;Descarga digital;False
Ixion - Europe;20.77€;-39%;Bulwark Studios;Kasedo Games;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];7 diciembre 2022;10;16;En stock;Descarga digital;False
Redfall Bite Back Edition;72.99€;-27%;Arkane Austin;Bethesda Softworks;['Un solo jugador', 'Acción', 'Aventura'];2 mayo 2023;;0;;;False
Hello Neighbor 2 - Europe;11.50€;-71%;Eerie Guest;tinyBuild;['Un solo jugador', 'Aventura', 'Indies', 'Estrategia'];6 diciembre 2022;8;9;En stock;Descarga digital;False
Redfall;51.89€;-26%;Arkane Austin;Bethesda Softworks;['Un solo jugador', 'Acción', 'Aventura'];2 mayo 2023;;0;;;False
Digimon World: Next Order;38.41€;-23%;HYDE, Inc.;BANDAI NAMCO Entertainment;['Un solo jugador', 'RPG', 'Simulación'];21 febrero 2023;8;4;En stock;Descarga digital;False
Need for Speed Unbound;38.50€;-45%;Criterion Games;Electronic Arts;['Un solo jugador', 'Acción', 'Carreras'];2 diciembre 2022;6;103;En stock;Descarga digital;False
Cities: Skylines - Content Creator Pack: Map Pack 2;4.43€;-26%;Sidai;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];13 diciembre 2022;10;2;En stock;Descarga digital;False
Dead by Daylight - Forged in Fog Chapter;6.19€;-11%;Behaviour Interactive Inc.;Behaviour Interactive Inc.;['PvP online', 'Acción', '\nDLC\n'];22 noviembre 2022;10;1;En stock;Descarga digital;False
Resident Evil Village - Expansión de los Winters;12.92€;-35%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción', '\nDLC\n'];27 octubre 2022;9;16;En stock;Descarga digital;False
The Dark Pictures Anthology: The Devil in Me - Europe;28.44€;-29%;Supermassive Games;BANDAI NAMCO Entertainment Europe;['Un solo jugador', 'Aventura'];18 noviembre 2022;7;20;En stock;Descarga digital;False
One Piece Odyssey Deluxe Edition;43.47€;-49%;ILCA, Inc.;BANDAI NAMCO Entertainment;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];12 enero 2023;7;24;En stock;Descarga digital;False
Street Fighter 6 Ultimate Edition;73.79€;-30%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción', 'Aventura'];2 junio 2023;;0;;;False
Street Fighter 6 Deluxe Edition;57.49€;-32%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción', 'Aventura'];2 junio 2023;;0;;;False
Crisis Core – Final Fantasy VII - Reunion - Europe;31.19€;-24%;TOSE CO., LTD.;Square Enix;['Un solo jugador', 'Acción', 'RPG'];13 diciembre 2022;10;20;En stock;Descarga digital;False
Bendy and the Dark Revival;10.91€;-56%;Joey Drew Studios;Joey Drew Studios;['Un solo jugador', 'Acción', 'Aventura'];15 noviembre 2022;10;2;En stock;Descarga digital;False
Pathfinder: Wrath of the Righteous – Season Pass 2;24.26€;-16%;Owlcat Games;META Publishing;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia', '\nDLC\n'];25 octubre 2022;;0;En stock;Descarga digital;False
Hi-Fi RUSH;22.79€;-24%;Tango Gameworks;Bethesda Softworks;['Un solo jugador', 'Acción'];25 enero 2023;10;7;En stock;Descarga digital;False
Cities: Skylines - Content Creator Pack: Africa in Miniature;4.99€;-17%;"Setonji ""Prince Set"" Hotonu";Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];22 marzo 2023;;0;En stock;Descarga digital;False
Against the Storm;14.29€;-29%;Eremite Games;Hooded Horse;['Un solo jugador', 'Simulación', 'Estrategia', 'Early Access'];1 noviembre 2022;;0;En stock;Descarga digital;False
171;10.93€;-39%;Betagames Group;Betagames Group;['Un solo jugador', 'Acción', 'Indies', 'Early Access'];17 noviembre 2022;10;4;En stock;Descarga digital;False
Tactics Ogre : Reborn;29.41€;-41%;Square Enix;Square Enix;['Un solo jugador', 'RPG', 'Simulación'];11 noviembre 2022;;0;En stock;Descarga digital;False
Hi-Fi RUSH Deluxe Edition;28.99€;-28%;Tango Gameworks;Bethesda Softworks;['Un solo jugador', 'Acción'];25 enero 2023;10;2;En stock;Descarga digital;False
Scars Above;25.42€;-36%;Mad Head Games;Prime Matter;['Un solo jugador', 'Acción', 'Aventura'];28 febrero 2023;8;4;En stock;Descarga digital;False
9 Years of Shadows;10.18€;-49%;Halberd Studios;Freedom Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];27 marzo 2023;;0;En stock;Descarga digital;False
Sonic Frontiers - Europe;36.90€;-38%;Sonic Team;SEGA;['Un solo jugador', 'Acción', 'Aventura'];8 noviembre 2022;9;12;En stock;Descarga digital;False
Warhammer 40,000: Darktide - Imperial Edition;37.37€;-42%;Fatshark;Fatshark;['Acción', 'Aventura', 'Indies', 'Cooperativo online'];30 noviembre 2022;6;15;En stock;Descarga digital;False
Ravenbound;21.21€;-29%;Systemic Reaction™;Systemic Reaction™;['Un solo jugador', 'Acción'];30 marzo 2023;;0;En stock;Descarga digital;False
Terraformers - Europe;13.12€;-34%;Asteroid Lab;IndieArk;['Un solo jugador', 'Estrategia', '\nGeForce Now\n'];9 marzo 2023;10;1;En stock;Descarga digital;False
Aquatico;10.49€;-53%;Digital Reef Games;Overseer Games;['Un solo jugador', 'Simulación', 'Estrategia', '\nOfertas de la semana\n'];12 enero 2023;10;1;Fuera de stock;;False
Land of the Vikings - Europe;12.13€;-38%;Laps Games;Iceberg Interactive;['Un solo jugador', 'Estrategia', 'Early Access'];8 noviembre 2022;10;2;En stock;Descarga digital;False
Street Fighter 6;41.99€;-30%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción', 'Aventura'];2 junio 2023;;0;;;False
The Entropy Centre;10.62€;-58%;Stubby Games;Playstack;['Un solo jugador', 'Aventura'];3 noviembre 2022;10;5;En stock;Descarga digital;False
Road 96: Mile 0;10.10€;-22%;Digixart;Digixart;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];4 abril 2023;10;1;En stock;Descarga digital;False
Moviehouse – The Film Studio Tycoon;6.19€;-44%;Odyssey Studios;Assemble Entertainment;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];5 abril 2023;2;1;En stock;Descarga digital;False
Hunt the Night;13.99€;-28%;Moonlight Games;DANGEN Entertainment;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];13 abril 2023;;0;En stock;Descarga digital;False
A Little to the Left;13.94€;-7%;Max Inferno;Secret Mode;['Un solo jugador', 'Indies'];8 noviembre 2022;10;1;En stock;Descarga digital;False
Bob Esponja: The Cosmic Shake;24.24€;-39%;Purple Lamp;THQ Nordic;['Un solo jugador', 'Acción'];31 enero 2023;10;3;En stock;Descarga digital;False
Zombie Cure Lab;10.62€;-58%;Thera Bytes GmbH;Aerosoft GmbH;['Un solo jugador', 'Simulación', 'Estrategia', 'Early Access'];7 diciembre 2022;10;1;En stock;Descarga digital;False
Zoeti;11.99€;-39%;Dusklight CO., LTD.;Akupara Games;['Un solo jugador', 'Aventura', 'Indies', 'Estrategia'];20 abril 2023;;0;En stock;Descarga digital;False
Potion Tycoon;12.35€;-38%;Snowhound Games;Daedalic Entertainment;['Un solo jugador', 'Simulación', 'Estrategia', 'Early Access'];13 marzo 2023;;0;En stock;Descarga digital;False
Deliver Us Mars;15.10€;-50%;KeokeN Interactive;Frontier Foundry;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];2 febrero 2023;9;6;En stock;Descarga digital;False
MechWarrior 5: Mercenaries - Rise of Rasalhague;9.41€;-37%;Piranha Games Inc.;;['Un solo jugador', 'Acción', 'Simulación', '\nDLC\n'];26 enero 2023;;0;En stock;Descarga digital;False
Company of Heroes 3 Digital Premium Edition - Europe;63.85€;-20%;Relic Entertainment;SEGA;['Un solo jugador', 'Acción', 'Estrategia'];23 febrero 2023;7;29;En stock;Descarga digital;False
Pathfinder: Wrath of the Righteous - The Last Sarkorians;8.75€;-33%;Owlcat Games;META Publishing;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia', '\nDLC\n'];7 marzo 2023;;0;En stock;Descarga digital;False
Beyond Contact;11.52€;-42%;Playcorp Studios;Deep Silver;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];4 abril 2023;;0;En stock;Descarga digital;False
The Walking Dead: Saints & Sinners - Chapter 2: Retribution;24.64€;-37%;Skydance Interactive;Skydance Interactive;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];21 marzo 2023;2;1;En stock;Descarga digital;False
Warhammer 40,000: Inquisitor - Martyr - Sororitas Class;12.26€;-18%;NeocoreGames;NeocoreGames;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG', '\nDLC\n'];28 noviembre 2022;;0;En stock;Descarga digital;False
Knights of Honor II: Sovereign;26.17€;-42%;Black Sea Games;THQ Nordic;['Un solo jugador', 'Simulación', 'Estrategia'];6 diciembre 2022;6;8;En stock;Descarga digital;False
Season: A letter to the future;16.47€;-34%;Scavengers Studio;Scavengers Studio;['Un solo jugador', 'Aventura', 'Indies'];31 enero 2023;10;2;En stock;Descarga digital;False
Ship of Fools;12.92€;-14%;Fika Productions;Team17;['Un solo jugador', 'Acción', 'Indies'];22 noviembre 2022;;0;En stock;Descarga digital;False
Atomic Heart Premium Edition;81.68€;-18%;Mundfish;4Divinity;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];20 febrero 2023;9;42;En stock;Descarga digital;False
Patch Quest - Europe;8.75€;-42%;Lychee Game Labs;Curve Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies'];2 marzo 2023;;0;En stock;Descarga digital;False
Chef Life - A Restaurant Simulator;19.68€;-34%;Cyanide;Nacon;['Un solo jugador', 'Simulación'];23 febrero 2023;10;3;En stock;Descarga digital;False
The Great War: Western Front - Victory Edition;28.20€;-29%;Petroglyph Games;Frontier Foundry;['Un solo jugador', 'Estrategia'];30 marzo 2023;10;2;En stock;Descarga digital;False
Aces & Adventures;9.87€;-49%;Triple.B.Titles;Yogscast Games;['Un solo jugador', 'Aventura', 'RPG', 'Estrategia'];23 febrero 2023;10;1;En stock;Descarga digital;False
Wo Long: Fallen Dynasty Digital Deluxe Edition;62.15€;-35%;KOEI TECMO GAMES CO., LTD.;CE-Asia(Asia);['Un solo jugador', 'Acción', 'Aventura', 'RPG'];3 marzo 2023;9;29;En stock;Descarga digital;False
Victoria 3 Grand Edition;52.02€;-35%;Paradox Development Studio;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia'];25 octubre 2022;10;9;En stock;Descarga digital;False
Persona 3 Portable;16.55€;-17%;ATLUS;SEGA;['Un solo jugador', 'Aventura', 'RPG', 'Estrategia'];19 enero 2023;10;2;En stock;Descarga digital;False
Blood Bowl 3;20.62€;-31%;Cyanide Studio;Nacon;['Un solo jugador', 'Deporte', 'Estrategia'];23 febrero 2023;4;8;En stock;Descarga digital;False
Blood Bowl 3 Brutal Edition;31.49€;-37%;Cyanide Studio;Nacon;['Un solo jugador', 'Deporte', 'Estrategia'];23 febrero 2023;4;8;En stock;Descarga digital;False
Depersonalization;9.00€;-54%;MeowNature;Gamera Games;['Un solo jugador', 'Aventura', 'Indies', 'RPG', 'Estrategia', 'Early Access'];20 diciembre 2022;;0;En stock;Descarga digital;False
Floodland;18.15€;-39%;Vile Monarch;Ravenscourt;['Un solo jugador', 'Simulación', 'Estrategia'];15 noviembre 2022;6;2;En stock;Descarga digital;False
Honey, I Joined a Cult;9.75€;-56%;Sole Survivor Games;Team17;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia', '\nGeForce Now\n'];3 noviembre 2022;;0;En stock;Descarga digital;False
Dragon Ball Z Kakarot Season Pass 2;32.70€;-18%;CyberConnect2 Co. Ltd.;BANDAI NAMCO Entertainment Inc.;['Un solo jugador', 'Acción', 'RPG', '\nDLC\n'];13 enero 2023;10;2;En stock;Descarga digital;False
Curse of the Sea Rats;11.99€;-40%;Petoons Studio;PQube;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];6 abril 2023;;0;En stock;Descarga digital;False
Cities: Skylines - 80's Downtown Beat;2.99€;-25%;Colossal Order Ltd.;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];15 noviembre 2022;;0;En stock;Descarga digital;False
Total Tank Generals;17.49€;-30%;Noobz from Poland;505 Games;['Un solo jugador', 'Indies', 'Simulación', 'Estrategia'];30 marzo 2023;;0;En stock;Descarga digital;False
Atomic Heart Atomic Pass;32.22€;-19%;Mundfish;Focus Entertainment;['Acción', 'Aventura', 'RPG'];20 febrero 2023;;0;En stock;Descarga digital;False
Monster Energy Supercross - The Official Videogame 6;35.98€;-28%;Milestone S.r.l.;Milestone S.r.l.;['Un solo jugador', 'Carreras', 'Deporte'];9 marzo 2023;5;3;En stock;Descarga digital;False
Marvel's Midnight Suns Season Pass;33.14€;-34%;Firaxis Games;2K;['Un solo jugador', 'RPG', 'Estrategia', '\nDLC\n'];2 diciembre 2022;;0;Fuera de stock;;False
WWE 2K23 Deluxe Edition - Europe;70.49€;-30%;Visual Concepts;2K;['Un solo jugador', 'Simulación', 'Deporte'];16 marzo 2023;7;6;En stock;Descarga digital;False
Sky Haven;11.18€;-44%;Real Welders;Real Welders;['Un solo jugador', 'Simulación', 'Estrategia'];20 noviembre 2022;;0;En stock;Descarga digital;False
Vernal Edge;9.73€;-43%;Hello Penguin Team LLC;PID Games;['Un solo jugador', 'Acción', 'Aventura'];14 marzo 2023;;0;En stock;Descarga digital;False
Bots Are Stupid;5.43€;-58%;Leander Edler-Golla;Yogscast Games;['Un solo jugador', 'Indies'];15 diciembre 2022;;0;En stock;Descarga digital;False
Spin Rhythm XD;12.50€;-31%;Super Spin Digital;Super Spin Digital;['Un solo jugador', 'Acción', 'Indies'];14 marzo 2023;;0;En stock;Descarga digital;False
The Outer Worlds Spacer's Choice Upgrade - Europe;6.25€;-37%;Virtuos Games;Private Division;['Un solo jugador', 'RPG', '\nDLC\n'];7 marzo 2023;;0;En stock;Descarga digital;False
